"name_tbl","name_fld","format_4_05","format_4_06","is_active_format_4_06"
h_individual_entrepreneur_egrip_main,vid_ip_code,,Файл^Документ^СвИП^@КодВидИП,true
h_individual_entrepreneur_egrip_main,vid_ip_name,,Файл^Документ^СвИП^@НаимВидИП,true
s_individual_entrepreneur_email_info,individual_entrepreneur_pk,,hash_func,true
s_individual_entrepreneur_email_info,load_dtm,,now_f,true
s_individual_entrepreneur_email_info,rec_src,,EGRIP,true
s_individual_entrepreneur_licenses_info,svlizenzia_grnipdata_valid_from,,Файл^Документ^СвИП^СвЛицензия^ГРНИПДата^@ДатаЗаписи,true
s_individual_entrepreneur_licenses_info,svlizenzia_lizorgvydliz,,Файл^Документ^СвИП^СвЛицензия^@ЛицОргВыдЛиц,true
s_individual_entrepreneur_licenses_info,svlizenzia_naimlizviddeat,,Файл^Документ^СвИП^СвЛицензия^@НаимЛицВидДеят,true
s_individual_entrepreneur_email_info,ogrnip,,Файл^Документ^СвИП^@ОГРНИП,true
s_individual_entrepreneur_citizenship_info,ogrnip,,Файл^Документ^СвИП^@ОГРНИП,true
s_individual_entrepreneur_citizenship_info,individual_entrepreneur_pk,,hash_func,true
s_individual_entrepreneur_citizenship_info,load_dtm,,now_f,true
s_individual_entrepreneur_citizenship_info,rec_src,,EGRIP,true
s_individual_entrepreneur_citizenship_info,statement_dt,,statement_dt,true
s_individual_entrepreneur_licenses_info,ogrnip,,Файл^Документ^СвИП^@ОГРНИП,true
s_individual_entrepreneur_licenses_info,individual_entrepreneur_pk,,hash_func,true
s_individual_entrepreneur_licenses_info,load_dtm,,now_f,true
s_individual_entrepreneur_licenses_info,rec_src,,EGRIP,true
s_individual_entrepreneur_licenses_info,statement_dt,,statement_dt,true
s_individual_entrepreneur_okveds_info,ogrnip,,Файл^Документ^СвИП^@ОГРНИП,true
s_individual_entrepreneur_okveds_info,individual_entrepreneur_pk,,hash_func,true
s_individual_entrepreneur_egrip_history,svzapegrip_svsvid_datavydsvid,,Файл^Документ^СвИП^СвЗапЕГРИП^СвСвид^@ДатаВыдСвид,true
s_individual_entrepreneur_citizenship_info,svgrajd_vidgrajd,,Файл^Документ^СвИП^СвГражд^@ВидГражд,true
s_individual_entrepreneur_citizenship_info,svgrajd_naimstran,,Файл^Документ^СвИП^СвГражд^@НаимСтран,true
s_individual_entrepreneur_egrip_history,svzapegrip_grnipdatanedpred_grnip,,Файл^Документ^СвИП^СвЗапЕГРИП^ГРНИПДатаНедПред^@ГРНИП,true
s_individual_entrepreneur_citizenship_info,svgrajd_grnipdata_valid_from,,Файл^Документ^СвИП^СвГражд^ГРНИПДата^@ДатаЗаписи,true
s_individual_entrepreneur_email_info,svadrelpocty_grnipdata_valid_from,,Файл^Документ^СвИП^СвАдрЭлПочты^ГРНИПДата^@ДатаЗаписи,true
s_individual_entrepreneur_egrip_history,ogrnip,,Файл^Документ^СвИП^@ОГРНИП,true
s_individual_entrepreneur_egrip_history,individual_entrepreneur_pk,,hash_func,true
s_individual_entrepreneur_egrip_history,load_dtm,,now_f,true
s_individual_entrepreneur_egrip_history,rec_src,,EGRIP,true
s_individual_entrepreneur_egrip_history,statement_dt,,statement_dt,true
s_individual_entrepreneur_okveds_info,load_dtm,,now_f,true
s_individual_entrepreneur_okveds_info,rec_src,,EGRIP,true
s_individual_entrepreneur_okveds_info,statement_dt,,statement_dt,true
s_individual_entrepreneur_okveds_info,svokved_svokveddop_grnipdata_valid_from,,Файл^Документ^СвИП^СвОКВЭД^СвОКВЭДДоп^ГРНИПДата^@ДатаЗаписи,true
s_individual_entrepreneur_egrip_history,svzapegrip_grnip,,Файл^Документ^СвИП^СвЗапЕГРИП^@ГРНИП,true
